,제목,장르,년도,줄거리,평점,연령 등급
185,어 퓨 굿 맨,"드라마, 코미디, 스릴러",(1992),쿠바의 관타나모 기지에서 불법 총격 사건의 범인을 알려주겠다던 산티아고 사병이 다른 두 명의 해병에게 일명 코드 레드라는 금지된 특수 기합을 받다가 죽는 사건이 발생한다. 해군은 이 사건의 변호사로 능수능란하게 사건을 합의하는 것으로 유명한 캐피 중위(톰 크루즈)를 선임하지만 겔로웨이 소령(데미 무어)이 개입함에 따라 일은 복잡해진다. 조너선 중위(키퍼 서덜랜드)가 그 혹독한 기합을 명령했음을 알아낸 캐피와 겔로웨이 소령. 이들은 사건의 배후세력을 밝히기 위하여 기지 사령관 제셉 대령(잭 니콜슨)을 만나러 간다.,7.7 (269k),15+
186,타오르는 여인의 초상,"드라마, 로맨스, 역사, Made in Europe",(2019),"1770년, 젊은 화가 마리안느는 밀라노 귀족과 결혼을 앞둔 여인 엘로이즈의 초상화를 그려달라는 백작 부인의 의뢰를 받고 엘로이즈가 머무는 외딴섬의 영지에서 며칠간 머물게 된다. 마리안느는 엘로이즈가 초상화 그리는 걸 싫어한다는 이유 때문에 화가라는 신분을 숨기고 접근한다. 마리안느는 엘로이즈의 이목구비를 눈에 담기 위해 매일 산책에 동행하면서 그녀가 지닌 아픔을 어루만져주고 친분도 쌓는다. 어쨌든 그녀는 엘로이즈의 결혼을 종용하는 도구로 사용될 초상화 완성에 매진해야 한다.",8.1 (96k),15
187,업그레이드,"스릴러, 공포, 액션, SF",(2018),"하루 아침에 모든 것을 잃고 전신마비가 된 그레이. 인간의 모든 능력을 업그레이드하는 최첨단 두뇌 ‘스템’을 장착하고 이제, 아내를 죽인 자들을 직접 처단하기 위한 그의 통제 불능 액션이 시작 되는데…",7.5 (190k),15
188,노트북,"로맨스, 드라마",(2004),"17살, 노아는 밝고 순수한 앨리를 보고 첫눈에 반한다. 빠른 속도로 서로에게 빠져드는 둘. 그러나 이들 앞에 놓인 장벽에 막혀 이별하게 된다. 24살, 앨리는 우연히 신문에서 노아의 소식을 접하고 잊을 수 없는 첫사랑 앞에서 다시 한 번 선택의 기로에 서게 되는데…",7.8 (582k),15
189,브레이브하트,"드라마, 역사, 전쟁",(1995),"13세기 말, 스코틀랜드 왕이 후계자 없이 죽자 잉글랜드는 왕권을 요구하며 스코틀랜드에 포악한 정치의 그림자를 드리우기 시작한다. 윌리엄 월레스(멜 깁슨)는 폭정을 피하여 멀리 보내져 양육된다. 그가 성장하여 고향에 돌아왔을때 스코틀랜드는 여전히 잉글랜드의 군주 롱생크(패트릭 맥구한)의 핍박과 탄압에 시달리고 있었다. 그는 운명적인 사랑의 여인 머론(캐서린 맥코맥)을 만나 결혼하지만, 잉글랜드의 폭정에 머론은 잔인하게 처형된다. 월레스는 머론의 복수를 다짐하고, 하나 둘씩 모여드는 스코틀랜드 사람들을 모아 용맹과 투지로 무장한 저항군의 지도자가 되는데...",8.4 (1m),15+
190,분노의 질주: 언리미티드,"액션, 스릴러, 범죄",(2011),"25년형을 선고받은 도미닉 토레도(빈 디젤)는 감옥으로 수송되던 도중, 브라이언(폴 워커)과 도미닉의 동생이자 브라이언의 연인 미아(조다나 브루스터)의 도움으로 탈옥에 성공한다. 세 사람이 다시 뭉치는 곳은 브라질의 리우데자네이루. 그들은 도주에 필요한 돈을 구하려다 도시를 장악하고 있는 라이즈(호아킴 드 알마이더)의 음모에 휘말린다. 경찰에 쫓기던 중 미아는 임신 사실을 고백하고, 정착할 때가 됐다고 판단한 세 사람은 라이즈를 상대로 마지막 한탕을 준비한다.다. 한편 FBI는 도미닉을 잡기 위해 다혈질 현장요원인 홉스(드웨인 존슨)를 급파하는데...",7.3 (386k),15
191,현기증,"스릴러, 로맨스, Made in Europe",(1958),스카티는 고소공포증 때문에 경찰을 그만 두고 사립탐정의 길로 들어서게 된다. 어느 날 그는 대학 친구였던 개빈로부터 망령에 사로잡힌 자신의 부인 매들린을 미행해 달라는 부탁을 받는다. 얼마 후 그는 금문교 아래에서 강물에 뛰어든 매들린을 구한 후로 그녀와 사랑에 빠지고 매들린 역시 그에게 사랑을 느끼게 되는데...,8.3 (406k),15
192,빽 투 더 퓨쳐 2,"코미디, SF",(1989),"우여곡절 끝에 과거에서 현재로 무사히 돌아온 마티 맥플라이는 숨 고를 겨를도 없이 에메트 브라운 박사 손에 이끌려 미래로 향하는 드로리안에 또다시 몸을 싣는다. 이유인 즉슨, 미래의 마티 주니어가 대형 사고를 쳐 감옥에 간다는 것. 30년 뒤 미래인 2015년에 당도한 마티와 브라운 박사가 사건을 수습하는 동안, 마티와 원수지간인 비프 태넌이 인생을 바꿀 중요한 물건인 스포츠 연감과 함께 드로리안을 타고 과거로 사라진다. 다시 현대로 돌아온 마티와 브라운 박사는 뒤죽박죽이 되어 버린 세상에 소스라치게 놀라는데...",7.8 (541k),12+
193,룸,"드라마, 스릴러, Made in Europe",(2015),"램프 하나, 세면대 하나, 침대 하나… 작은 방에 갇힌 24살 엄마와 5살 아들 7년 전, 한 남자에게 납치돼 작은 방에 갇히게 된 열일곱 살 소녀 ‘조이’. 세상과 단절된 채 지옥 같은 나날을 보내던 중, 아들 ‘잭’을 낳고 엄마가 된다. 감옥 같은 작은 방에서 서로를 의지하며 살아가던 엄마와 아들. 어느덧 세월은 흘러 잭은 다섯 살 생일을 맞이하게 된다. 태어나 단 한번도 방 밖으로 나가 보지 못한 잭을 더 이상 좁은 방안에 가둬 둘 수 없다고 생각한 조이는 진짜 세상으로의 탈출을 결심한다. 그러나, 그들의 극적인 탈출과 충격적인 과거 때문에 세상은 두 사람을 또다시 보이지 않는 방안에 가두려 하는데…",8.1 (426k),15
194,시민 케인,드라마,(1941),"1940년 뉴욕 인콰이어러지를 비롯, 수 많은 신문들의 발행인이었던 찰스 포스터 케인이 죽는다. 그는 당시 70세로 세계에서 손꼽히는 부자였으며, 죽음 직전에는 플로리다의 대저택에서 은둔 생활을 하고 있었다. 생전에 많은 정치인과도 친분을 맺고 있었고, 미국 정책에 막강한 영향력을 발휘하기도 했던 그는 자신에 대한 여러 얘기들에 대해 ""나는 현재 미국인이고 과거에도 미국인이었으며 앞으로도 항상 미국인일 것이다""라고 일축하곤 했다. 잡지 편집장 록스톤은 그의 죽음을 취재하고자 기자 톰슨에게 케인이 죽기 전에 말했다는 장미꽃 봉오리가 무슨 뜻인지 알아오라고 한다. 톰슨은 케인의 주변 인물을 샅샅이 취재하기 시작하는데...",8.3 (446k),15
195,브로크백 마운틴,"드라마, 로맨스, Made in Europe",(2005),"눈부신 만년설로 뒤덮인 봉우리와 맑고 깊은 계곡, 한없이 펼쳐진 푸른 초원 위에 노니는 수천 마리의 양떼가 장관을 이루고 있는 8월의 브로크백 마운틴. 이곳의 양떼 방목장에서 여름 한 철 함께 일하게 된 갓 스물의 두 청년 에니스와 잭은 마치 오랜 친구처럼 서로에게 마음을 터놓는 사이가 된다. 대자연의 품에서 깊어져 간 그들의 우정은 친구 사이의 친밀함 이상으로 발전해간다. 그들 앞에 놓인 낯선 감정의 실체가 무엇인지도 알지 못한 채 짧은 방목철이 끝나고 다시 만날 기약도 없이 두 사람은 각자의 삶으로 돌아간다. 결혼해 아이를 낳고 평범한 생활을 하다가 4년 만에 다시 만난 두 사람은 단번에 브로크백에서 서로에게 가졌던 그 낯선 감정이 일시적인 것이 아니었음을 알게 되는데...",7.7 (363k),15
196,그랜 토리노,드라마,(2009),"자동차 공장에서 은퇴한 월트 코왈스키(클린트 이스트우드)의 일상은 집을 수리하고 맥주를 마시고 매달 이발하러 가는 것이 전부다. 전쟁의 상처에 괴로워하고 M-1 소총을 손에서 놓지 못하는 남편이 참회하길 바란다는 월트 아내의 유언을 이뤄주려고 자코비치 신부가 하루가 멀게 그를 찾아오지만 그가 자신의 속내를 털어놓을 만큼 믿는 존재는 애견 데이지뿐이다. 어느 날 이웃집 소년 타오가 갱단의 협박으로 월트의 72년형 그랜 토리노를 훔치려 하고, 차를 훔치지 못하게 하고 갱단의 싸움을 무마시킨 월트는 본의 아니게 타오의 엄마와 누나 수의 영웅이 되는데...",8.1 (782k),15+
197,프렌치 디스패치,"코미디, 드라마, 다큐멘터리, 로맨스",(2021),"프랑스 앙뉘에서 발간되는 미국 잡지 프렌치 디스패치의 편집장 아서 하위처 주니어(빌 머리)가 갑자기 사망한다. 발행인의 부고는 곧잡지의 부고이기도 해서, 프렌디 디스패치의 최정예 저널리스트들은 마지막 발행본에 실을 특종 기사를 고민한다. 허브세인트 새저랙 (오언 윌슨), J. K. L. 베렌슨(틸다 스윈튼), 루신다 크레멘츠(프랜시스 맥도먼드), 로벅 라이트(제프리 라이트)는 각자 도시와 예술, 정치와 푸드 섹션을 맡아 피날레를 장식할 호의 기사를 쓴다. 살인죄로 수감된 천재 화가의 작품은 영악한 미술상에 의해 그 가치가 엄청나게 뛰게 되고, 기성세대에 저항하는 프랑스 청년들의 변혁 운동은 기성세대가 선언문을 고쳐준다는 아이러니를 마주하고, 해외파 기자는 프랑스의 외국인 노동자 셰프의 감정을 이해한다.",7.3 (81k),15
198,크레이지 스투피드 러브,"드라마, 로맨스, 코미디",(2011),"좋은 직장, 좋은 집, 그리고 멋진 아이들까지 모든 것이 완벽하게 이뤄져가는 삶을 산다고 생각했던 칼(스티브 카렐)은 아내 에밀리(줄리안 무어)의 이혼 선언에 모든 것이 무너지는 것을 알게 된다. 충격을 다 잡을틈도 없이 짐을 싸 집을 나온 그는 술집에서 여자를 유혹하는 모든 기술을 가진 잘 나가는 30대 제이콥(라이언 고슬링)을 만나게 된다. 칼을 안쓰럽게 여긴 제이콥은 그에게 모든 기술을 전수해 주고, 그는 중년 차도남으로 거듭난다. 그러면서 전에 없던 새로운 경험과 아내의 소중함, 그리고 가족에 대해서 다시 돌아보게 되는데...",7.4 (528k),15+
199,좀비랜드,"코미디, 공포, SF, 판타지, 액션",(2009),"유난히 겁 많고 언제 어디서나 두려움과 불안 속에서 살아가고 있는 청년이 있다. 외출도 자제하고 게임을 즐기며 자신만의 세상에서 살고 있던 그는 좀비로부터 자신을 보호하는 여러 규칙을 만들고 준수해온 덕분에 생존할 수 있었다고 말한다. 부모님이 살고 있는 동부 콜럼버스로 향하는 그는 무기로 무장하고 좀비라면 무작정 쏴 죽이는 한 남자를 만나고 서로 동부 쪽으로 향해 가고 있음을 알게 된 두 사람은 동행하게 된다. 청년은 이름을 말하려고 그는 서로 이름을 부르면 너무 친해진다며 자신들이 향하는 곳을 이름 삼아 부르기로 한다. 콜럼버스로 향하는 대학생과 탈라하시로 향하는 터프가이. 그렇게 소년은 콜럼버스가, 남자는 탈라하시가 된다. 트윙키라는 과자에 집착하는 탈라하시는 콜럼버스와 마트에 들렀다가 도움이 필요해 보이는 소녀를 만나게 된다. 소녀는 자신의 여동생이 좀비에게 물렸고 동생의 부탁으로 좀비가 되기 전에 죽이려고 한다며 총을 빌려달라고 한다. 그러나 자매는 갑자기 태도가 돌변해 무기와 차를 빼앗아 달아난다. 억세게 운 좋은 둘은 다시 새로운 차와 무기를 마련해 목적지로 향하는데 다시 그 자매를 만난다. 우연히 한 차를 타고 가면서 적대관계에서 살아남으려는 동료애 같은 분위기로 변하는데....",7.6 (587k),15+
